No,customerID,CheckingAccount,SavingAccount,CertificatesofDeposit,Mortgages,Loans,CreditCard,DebitCard,CreditScore,TotalRelationshipCount,ContactsCount12month,TotalTransactionCount,CustomerSince,Churn
5506,4776-XSKYQ,No,Yes,No,No,No,Premium,Premium,709,3,1,438,11/2/2018,No
3993,2987-BJXIK,Yes,Yes,Yes,Yes,Yes,No,Standart,742,6,1,675,11/1/2018,No
6354,8735-DCXNF,Yes,No,Yes,No,No,Platinum,No,804,3,2,839,11/1/2018,No
6913,2215-ZAFGX,Yes,Yes,No,No,No,Standart,Platinum,667,4,3,748,10/30/2018,No
3153,9909-DFRJA,Yes,No,Yes,No,Yes,Premium,Premium,823,5,2,727,10/29/2018,No
1376,1839-FBNFR,Yes,No,No,Yes,Yes,Premium,Standart,739,5,2,232,10/28/2018,No
3096,0315-LVCRK,Yes,No,No,No,Yes,Standart,No,619,3,1,682,10/27/2018,No
296,8203-XJZRC,Yes,No,No,Yes,No ,Gold,No,721,4,0,228,10/26/2018,No
4289,5442-UTCVD,Yes,Yes,No,No,Yes,Standart,No,453,4,1,790,10/26/2018,Yes
1808,6910-HADCM,Yes,No,No,No,Yes,Standart,No,837,3,1,803,10/23/2018,Yes
3595,9026-LHEVG,No,Yes,No,Yes,No,Standart,No,643,3,1,811,10/23/2018,No
4655,4530-NDRKU,Yes,No,No,Yes,Yes,Standart,Premium,805,5,0,932,10/22/2018,No
5648,7502-BNYGS,Yes,No,No,Yes,No,Platinum,Gold,797,4,2,986,10/22/2018,No
1641,2351-RRBUE,Yes,No,No,Yes,No ,Gold,Premium,499,5,3,219,10/19/2018,No
5438,7000-WCEVQ,Yes,Yes,No,No,No,No,Platinum,407,3,1,620,10/19/2018,Yes
6547,9828-QHFBK,Yes,No,Yes,No,No,Standart,Platinum,416,4,3,971,10/19/2018,No
5839,9822-BIIGN,Yes,Yes,Yes,No,No,Standart,No,502,4,0,698,10/17/2018,No
6649,2164-SOQXL,Yes,No,No,Yes,No ,Gold,No,578,4,1,264,10/17/2018,No
526,0750-EBAIU,Yes,No,Yes,No,Yes,Standart,Premium,785,5,1,299,10/16/2018,No
612,4765-OXPPD,Yes,No,Yes,Yes,Yes,No,No,439,4,1,242,10/15/2018,Yes
1824,8496-EJAUI,Yes,No,No,Yes,No,Platinum,Platinum,702,4,0,207,10/15/2018,Yes
2753,4139-SUGLD,No,Yes,Yes,No,No,Premium,No,724,3,2,755,10/15/2018,Yes
6617,9600-NAXZN,Yes,Yes,No,Yes,No,Standart,Gold,726,5,2,997,10/15/2018,Yes
3948,4324-AHJKS,Yes,No,Yes,No,Yes,Platinum,No,435,4,3,695,10/14/2018,No
5758,5539-HIVAK,Yes,Yes,No,Yes,No ,Gold,No,667,5,0,307,10/14/2018,No
1276,5095-ETBRJ,Yes,No,Yes,Yes,No,No,Standart,347,4,1,115,10/13/2018,No
3616,6900-PXRMS,Yes,Yes,No,Yes,Yes,Standart,No,732,5,1,997,10/13/2018,Yes
5228,4060-LDNLU,Yes,Yes,No,No,No,Standart,No,692,3,1,989,10/13/2018,No
6792,5204-QZXPU,No,Yes,No,No,Yes,Standart,No,684,3,1,965,10/12/2018,Yes
6757,1754-GKYPY,Yes,No,No,No,No,Premium,Platinum,739,3,2,957,10/11/2018,No
911,1907-UBQFC,Yes,No,No,Yes,No,Standart,No,672,3,0,287,10/10/2018,Yes
3147,4236-XPXAV,Yes,No,No,Yes,No,No,Premium,553,3,1,609,10/10/2018,Yes
4508,7797-EJMDP,Yes,No,Yes,No,No,Premium,No,694,3,2,999,10/10/2018,No
6642,2810-FTLEM,Yes,No,Yes,No,No,Standart,Platinum,555,4,0,853,10/9/2018,Yes
4405,1307-ATKGB,Yes,No,No,Yes,Yes,Standart,Gold,772,5,1,861,10/7/2018,No
5516,2892-GESUL,Yes,No,No,Yes,No ,Gold,Standart,542,5,1,410,10/7/2018,No
156,6551-GNYDG,Yes,No,No,No,No,Premium,Platinum,824,3,1,466,10/6/2018,No
3775,1309-XGFSN,Yes,Yes,No,Yes,Yes,Standart,Premium,332,6,0,306,10/6/2018,No
5624,9115-YQHGA,Yes,No,No,No,No,Standart,Gold,559,3,2,961,10/6/2018,No
5880,6603-YRDCJ,Yes,No,Yes,Yes,No,No,Standart,378,4,2,312,10/6/2018,No
1054,5669-SRAIP,No,Yes,No,No,Yes,Standart,No,694,3,1,237,10/5/2018,Yes
2857,2740-TVLFN,Yes,Yes,No,No,No,Standart,Standart,525,4,1,700,10/5/2018,No
3628,3243-ZHOHY,Yes,No,No,Yes,No ,Gold,Premium,764,5,2,965,10/5/2018,No
4133,6834-NXDCA,No,Yes,No,No,No,Standart,Premium,704,3,0,504,10/5/2018,Yes
5099,8258-GSTJK,Yes,Yes,No,No,No,Standart,Premium,712,4,2,392,10/5/2018,Yes
602,5173-ZXXXL,Yes,No,No,Yes,No ,Gold,Premium,548,5,0,299,10/4/2018,No
4620,4290-BSXUX,Yes,Yes,No,No,No,Premium,Premium,576,4,2,555,10/3/2018,Yes
5124,8020-BWHYL,Yes,No,No,Yes,No,Platinum,Platinum,523,4,0,588,10/3/2018,Yes
5635,2320-JRSDE,Yes,No,No,Yes,Yes,Standart,Standart,694,5,2,713,10/3/2018,Yes
1170,1282-IHQAC,No,Yes,No,Yes,Yes,Premium,Premium,708,5,1,633,10/2/2018,No
1690,0274-JKUJR,No,Yes,Yes,Yes,Yes,No,No,552,4,1,286,10/2/2018,No
3202,4717-GHADL,Yes,Yes,No,Yes,No,No,Standart,643,4,0,736,10/2/2018,No
3657,4039-PIMHX,Yes,No,No,Yes,No,Gold,Standart,575,4,0,524,9/29/2018,No
2377,9314-QDMDW,Yes,No,No,Yes,No,Standart,Premium,387,4,2,547,9/28/2018,No
4201,8316-BBQAY,No,Yes,Yes,No,Yes,Platinum,Standart,846,5,0,796,9/27/2018,No
3534,4318-RAJVY,Yes,No,No,Yes,Yes,Gold,Premium,325,5,1,860,9/25/2018,No
884,3199-NPKCN,Yes,Yes,Yes,No,Yes,Standart,Premium,433,6,1,283,9/24/2018,No
4630,6112-KTHFQ,Yes,No,No,Yes,Yes,Gold,Premium,449,5,0,623,9/24/2018,No
5631,9801-GDWGV,Yes,Yes,No,Yes,Yes,Standart,Gold,837,6,2,658,9/24/2018,Yes
5610,4818-DRBQT,Yes,Yes,No,Yes,No,Premium,Gold,756,5,1,587,9/21/2018,Yes
3542,1530-ZTDOZ,No,Yes,Yes,No,No,Premium,No,660,3,2,254,9/19/2018,No
4351,1518-OMDIK,Yes,No,No,No,No,Premium,Platinum,691,3,0,593,9/19/2018,No
1249,7321-PKUYW,Yes,Yes,No,No,No,Standart,No,815,3,2,292,9/16/2018,Yes
4788,5542-DHSXL,Yes,No,Yes,Yes,No,No,No,804,3,0,191,9/16/2018,No
1466,1866-OBPNR,Yes,No,No,Yes,No,Platinum,No,712,3,2,239,9/15/2018,No
2625,0820-FNRNX,Yes,Yes,No,Yes,Yes,No,Platinum,761,5,2,555,9/15/2018,No
4397,0023-HGHWL,No,Yes,No,No,No,Standart,Standart,725,3,1,456,9/15/2018,Yes
4915,0562-FGDCR,Yes,Yes,Yes,Yes,No,No,Standart,532,5,1,506,9/15/2018,No
1966,3948-XHGNA,Yes,No,Yes,No,No,Premium,Platinum,575,4,0,236,9/14/2018,Yes
6142,5385-SUIRI,Yes,Yes,Yes,No,Yes,Standart,Gold,833,6,1,733,9/14/2018,Yes
2143,4223-BKEOR,Yes,No,Yes,No,Yes,No,Premium,348,4,2,588,9/13/2018,No
2309,3324-OIRTO,Yes,No,Yes,Yes,Yes,Premium,Premium,509,6,1,762,9/13/2018,No
1967,3723-BFBGR,Yes,Yes,No,Yes,No,Platinum,No,640,4,0,238,9/12/2018,No
5588,1707-HABPF,Yes,No,No,Yes,Yes,Premium,Premium,771,5,2,203,9/12/2018,No
6435,6608-QQLVK,Yes,No,No,No,Yes,Standart,Standart,415,4,1,149,9/11/2018,Yes
306,1248-DYXUB,Yes,Yes,No,Yes,No ,Gold,Standart,332,6,3,229,9/10/2018,No
126,4622-YNKIJ,Yes,No,Yes,No,No,Standart,Standart,794,4,1,222,9/9/2018,No
5852,4118-CEVPF,Yes,Yes,Yes,Yes,Yes,Premium,Premium,827,7,3,548,9/9/2018,No
3105,6860-YRJZP,Yes,Yes,No,No,No,Standart,No,763,3,2,767,9/7/2018,No
3798,7868-BGSZA,Yes,Yes,Yes,No,Yes,Standart,Premium,323,6,1,375,9/7/2018,No
558,1154-HYWWO,Yes,No,Yes,Yes,No,No,Premium,407,4,1,179,9/6/2018,No
5906,1628-BIZYP,Yes,No,No,Yes,No,Standart,Standart,712,4,2,532,9/6/2018,No
2443,2205-YMZZJ,Yes,Yes,No,No,No,Standart,No,734,3,0,996,9/5/2018,Yes
3246,0461-CVKMU,Yes,No,No,Yes,Yes,Standart,No,672,4,0,480,9/5/2018,Yes
1963,3511-APPBJ,Yes,No,Yes,No,Yes,Platinum,Premium,613,5,1,252,9/3/2018,No
694,2276-YDAVZ,Yes,Yes,No,No,No,Platinum,Premium,786,4,1,246,9/2/2018,Yes
5267,2027-DNKIV,Yes,No,Yes,No,Yes,No,Premium,579,4,1,212,9/2/2018,No
5717,8903-XEBGX,Yes,No,No,No,No,Standart,Standart,806,3,1,237,9/1/2018,No
393,0224-RLWWD,Yes,No,No,No,No,Standart,Standart,716,3,2,278,8/31/2018,No
6565,2159-TURXX,Yes,No,No,Yes,No ,Premium,No,731,4,2,784,8/31/2018,No
4051,2675-DHUTR,Yes,Yes,No,Yes,No,Standart,Gold,767,5,0,487,8/30/2018,No
2424,1133-KXCGE,Yes,No,No,Yes,No ,Gold,Premium,465,5,3,550,8/28/2018,No
914,5993-BQHEA,Yes,No,No,Yes,No ,Premium,Premium,682,5,1,300,8/26/2018,No
4142,8450-UYIBU,No,Yes,No,No,Yes,Standart,Platinum,632,4,1,676,8/26/2018,No
5485,4419-UJMUS,Yes,Yes,No,No,No,Standart,Standart,456,4,0,670,8/26/2018,No
1615,3813-DHBBB,No,Yes,Yes,Yes,No,Premium,Standart,613,5,2,472,8/25/2018,No
2021,2546-KZAAT,Yes,No,Yes,Yes,No,No,Premium,617,4,3,294,8/25/2018,No
5504,1757-TCATG,Yes,No,No,Yes,No ,Premium,Premium,615,5,3,654,8/25/2018,No
6652,2038-YSEZE,Yes,Yes,Yes,Yes,No,No,No,731,4,2,111,8/25/2018,No
3392,7234-KMNRQ,Yes,No,No,Yes,No ,Gold,No,737,4,0,971,8/24/2018,No
227,6341-JVQGF,Yes,No,Yes,No,Yes,No,Premium,740,4,2,34,8/23/2018,No
2003,0017-DINOC,No,Yes,Yes,No,No,Premium,Standart,513,4,0,217,8/23/2018,No
2263,4529-CKBCL,Yes,No,No,No,No,Standart,Standart,632,3,1,815,8/23/2018,Yes
1346,2293-IJWPS,Yes,Yes,No,No,Yes,Platinum,Premium,710,5,2,852,8/22/2018,No
1718,0404-AHASP,Yes,No,No,Yes,No ,Premium,Standart,409,5,0,689,8/22/2018,No
3629,5186-EJEGL,Yes,No,Yes,No,Yes,No,No,819,3,1,85,8/21/2018,No
3971,2541-YGPKE,Yes,No,Yes,No,No,Platinum,Premium,663,4,0,303,8/21/2018,No
5006,2359-QWQUL,Yes,No,Yes,No,Yes,Platinum,Premium,612,5,2,502,8/21/2018,Yes
6899,1956-YIFGE,Yes,No,No,Yes,Yes,No,Premium,807,4,3,857,8/20/2018,No
547,6986-IJDHX,Yes,No,No,Yes,No,No,Gold,754,3,0,201,8/19/2018,Yes
599,1710-RCXUS,Yes,Yes,No,Yes,No,Platinum,Premium,542,5,1,295,8/19/2018,No
3700,1137-DGOWI,Yes,No,No,Yes,Yes,Premium,Premium,727,5,3,291,8/19/2018,No
4081,6199-IPCAO,Yes,Yes,No,Yes,No ,Gold,Standart,333,6,1,316,8/18/2018,No
6702,0516-OOHAR,Yes,No,No,Yes,Yes,Premium,Premium,845,5,1,901,8/17/2018,No
3627,0396-UKGAI,Yes,No,No,Yes,No,Premium,Platinum,573,4,0,595,8/16/2018,No
6451,4609-KNNWG,Yes,No,No,Yes,No ,Gold,Standart,561,5,2,579,8/15/2018,No
1935,4587-NUKOX,Yes,No,Yes,Yes,No,Standart,Premium,756,5,0,208,8/13/2018,Yes
4766,8727-XDPUD,No,Yes,No,No,No,Premium,Standart,540,3,1,158,8/13/2018,No
3216,3481-JHUZH,Yes,Yes,No,Yes,No,Standart,Gold,641,5,0,427,8/12/2018,No
1545,3794-NFNCH,Yes,No,No,No,Yes,Gold,Platinum,761,4,3,286,8/10/2018,No
4354,6996-KNSML,Yes,No,No,No,Yes,Standart,Standart,379,4,1,653,8/10/2018,Yes
2007,0224-HJAPT,Yes,Yes,No,No,No,Standart,No,703,3,0,293,8/9/2018,Yes
2245,0866-QLSIR,Yes,Yes,Yes,Yes,No,No,Premium,711,5,2,986,8/6/2018,Yes
3608,9987-LUTYD,Yes,No,Yes,No,No,No,Premium,467,3,1,771,8/5/2018,No
3624,9819-FBNSV,Yes,No,No,No,No,Premium,Gold,580,3,1,679,8/3/2018,No
3183,6568-POCUI,Yes,No,No,No,No,Platinum,Standart,655,3,2,674,8/2/2018,No
282,8229-MYEJZ,Yes,No,No,Yes,No,Standart,No,730,3,2,294,7/31/2018,No
464,3811-VBYBZ,Yes,Yes,No,Yes,No,Standart,No,465,4,1,278,7/31/2018,Yes
1676,6311-UEUME,Yes,No,No,No,No,Standart,Gold,636,3,2,294,7/30/2018,Yes
4198,5934-RMPOV,Yes,Yes,No,No,No,Standart,Platinum,389,4,1,578,7/30/2018,No
3506,1335-NTIUC,No,Yes,No,No,No,Standart,Standart,802,3,0,658,7/27/2018,No
2135,8974-OVACP,Yes,No,No,Yes,No ,Gold,No,594,4,1,839,7/26/2018,No
4373,4781-ZXYGU,Yes,No,No,Yes,Yes,Premium,Standart,715,5,0,757,7/26/2018,No
4046,3677-TNKIO,Yes,No,No,No,No,Platinum,Platinum,670,3,0,436,7/25/2018,Yes
6392,4000-VGMQP,Yes,Yes,No,Yes,Yes,Platinum,Premium,746,6,0,575,7/22/2018,No
1577,0993-OSGPT,Yes,No,No,Yes,Yes,Premium,Premium,640,5,3,202,7/20/2018,No
1784,8380-PEFPE,Yes,No,No,No,No,Standart,Standart,687,3,2,358,7/20/2018,Yes
271,4385-GZQXV,Yes,No,No,No,No,Standart,Platinum,616,3,2,235,7/18/2018,Yes
295,1563-IWQEX,Yes,No,No,Yes,No ,Gold,No,753,4,2,299,7/18/2018,No
4277,1226-UDFZR,Yes,No,No,Yes,No,Gold,Standart,762,4,1,172,7/18/2018,Yes
5578,4163-HFTUK,Yes,No,No,Yes,No ,Standart,Premium,719,5,0,543,7/18/2018,No
719,1853-ARAAQ,No,Yes,No,No,Yes,Platinum,Platinum,412,4,1,751,7/17/2018,No
3239,7850-THJMU,Yes,No,No,Yes,No ,Premium,Standart,849,5,0,241,7/16/2018,No
4092,8263-OKETD,Yes,Yes,No,Yes,No,Platinum,Platinum,536,5,1,890,7/16/2018,No
4138,7777-UNYHB,Yes,No,No,Yes,Yes,Premium,Premium,778,5,3,509,7/16/2018,No
6706,3733-ZEECP,Yes,No,No,No,No,Standart,Platinum,608,3,2,122,7/16/2018,No
3862,0479-HMSWA,Yes,No,No,Yes,Yes,Standart,Standart,689,5,1,887,7/14/2018,No
5952,5816-QVHRX,Yes,Yes,No,No,No,Platinum,No,701,3,0,453,7/13/2018,No
1018,9361-YNQWJ,Yes,Yes,No,Yes,Yes,Premium,Premium,320,6,0,648,7/9/2018,No
2727,9392-XBGTD,Yes,No,No,Yes,No ,Gold,Standart,612,5,0,492,7/9/2018,No
712,7929-DMBCV,Yes,No,No,No,Yes,No,Platinum,733,3,0,673,7/7/2018,No
2655,2725-KXXWT,Yes,No,No,No,No,Standart,Standart,734,3,2,986,7/7/2018,Yes
1644,9469-WEJBT,Yes,No,No,No,Yes,Standart,Gold,825,4,3,245,7/5/2018,No
6061,4884-ZTHVF,Yes,No,No,Yes,No,Standart,No,624,3,0,509,7/5/2018,No
4750,6633-MPWBS,Yes,No,No,No,No,Standart,Premium,679,3,0,316,7/4/2018,Yes
1804,2773-MADBQ,No,Yes,Yes,Yes,Yes,No,Standart,528,5,0,183,7/3/2018,No
4040,8161-QYMTT,Yes,Yes,No,No,No,Standart,No,747,3,1,799,7/2/2018,No
4557,3750-CKVKH,Yes,No,No,No,No,Standart,Standart,627,3,2,578,7/1/2018,Yes
5530,5919-VCZYM,Yes,No,No,Yes,No ,Gold,No,553,4,2,582,7/1/2018,No
3632,2722-JMONI,Yes,No,Yes,No,No,Standart,Standart,732,4,0,442,6/30/2018,Yes
6367,2845-KDHVX,Yes,No,No,Yes,Yes,No,Standart,682,4,3,352,6/30/2018,No
1287,8985-OOPOS,Yes,No,No,No,Yes,Platinum,Premium,557,4,0,276,6/28/2018,No
2565,3230-WYKIR,Yes,Yes,No,No,Yes,Platinum,Premium,694,5,0,790,6/28/2018,Yes
3014,2065-MMKGR,Yes,Yes,No,No,No,Platinum,Premium,403,4,3,897,6/27/2018,No
3016,1498-NHTLT,Yes,No,Yes,Yes,Yes,Standart,Standart,743,6,0,604,6/27/2018,No
5303,9700-ISPUP,Yes,No,No,Yes,No,Standart,No,770,3,2,126,6/26/2018,No
773,3900-AQPHZ,Yes,No,No,Yes,No ,Gold,No,544,4,2,943,6/24/2018,Yes
803,8859-AXJZP,Yes,Yes,No,Yes,Yes,Gold,Standart,479,6,2,490,6/23/2018,No
1979,0602-DDUML,Yes,No,No,Yes,Yes,No,Standart,813,4,2,296,6/23/2018,No
6330,6603-QWSPR,Yes,No,No,Yes,Yes,Premium,Standart,399,5,1,203,6/23/2018,No
2264,2506-CLAKW,Yes,No,Yes,Yes,Yes,Premium,No,818,5,2,780,6/21/2018,Yes
3711,3724-BSCVH,Yes,No,No,Yes,No ,Gold,Premium,402,5,2,709,6/21/2018,No
3832,6946-LMSQS,Yes,Yes,Yes,No,No,Standart,Premium,818,5,1,786,6/20/2018,Yes
1328,4791-QRGMF,Yes,Yes,No,No,Yes,Premium,Premium,791,5,0,253,6/18/2018,Yes
4669,1791-PQHBB,Yes,No,Yes,No,No,Platinum,Standart,784,4,1,500,6/18/2018,No
1737,7551-JOHTI,Yes,No,No,Yes,No ,Gold,No,593,4,0,480,6/17/2018,Yes
5451,7503-ZGUZJ,Yes,Yes,No,No,No,No,Standart,566,3,1,151,6/17/2018,Yes
6104,8573-CGOCC,Yes,No,No,Yes,No ,Premium,No,727,4,2,576,6/17/2018,No
3639,7579-OOPEC,Yes,No,No,Yes,No,Platinum,No,625,3,2,430,6/16/2018,Yes
6923,9398-MMQTO,Yes,No,No,Yes,No,Platinum,No,694,3,1,545,6/15/2018,No
711,1029-QFBEN,Yes,No,No,Yes,No ,Gold,No,649,4,1,792,6/14/2018,Yes
1266,1004-NOZNR,Yes,No,Yes,No,No,Platinum,Premium,435,4,1,799,6/14/2018,No
5807,7854-EKTJL,Yes,No,No,Yes,Yes,Standart,Standart,793,5,2,271,6/14/2018,Yes
325,8626-PTQGE,No,Yes,Yes,Yes,No,Premium,Standart,796,5,0,275,6/12/2018,No
1149,7851-WZEKY,Yes,Yes,No,No,No,Standart,Standart,414,4,0,551,6/11/2018,Yes
3716,5288-AHOUP,Yes,No,No,No,No,Standart,Platinum,631,3,0,846,6/9/2018,No
1195,8967-SZQAS,Yes,No,No,Yes,No,Standart,No,725,3,1,282,6/8/2018,No
2769,1429-UYJSV,Yes,No,No,Yes,No ,Gold,Premium,367,5,3,700,6/8/2018,No
5539,4614-NUVZD,Yes,No,No,No,No,Standart,Standart,849,3,2,592,6/8/2018,Yes
2813,3763-GCZHZ,Yes,Yes,No,Yes,No,Standart,Premium,694,5,1,620,6/7/2018,Yes
1363,2568-BRGYX,Yes,No,No,No,No,Standart,Premium,555,3,2,268,6/6/2018,Yes
2014,7328-OWMOM,Yes,No,No,Yes,No ,Premium,Premium,834,5,0,297,6/5/2018,No
2708,7938-OUHIO,Yes,No,No,No,Yes,Standart,Premium,321,4,0,942,6/5/2018,Yes
4543,9029-FEGVJ,Yes,Yes,No,No,Yes,No,No,828,3,2,120,6/5/2018,No
6751,2144-ESWKO,No,Yes,Yes,No,Yes,Premium,Premium,774,5,0,525,6/5/2018,No
1818,5663-QBGIS,Yes,Yes,No,Yes,No,Premium,Standart,539,5,1,459,6/3/2018,No
2247,7181-BQYBV,Yes,Yes,Yes,No,Yes,Standart,Standart,752,6,2,959,6/1/2018,Yes
2314,9154-QDGTH,Yes,Yes,No,No,Yes,Platinum,Premium,613,5,0,698,6/1/2018,No
3586,5913-INRQV,Yes,No,Yes,No,No,No,Premium,543,3,1,575,6/1/2018,No
5358,1460-UZPRJ,Yes,No,No,Yes,No ,Gold,Standart,540,5,1,698,6/1/2018,No
1473,9283-LZQOH,Yes,Yes,No,No,No,Platinum,Platinum,550,4,0,295,5/30/2018,Yes
4169,1194-BHJYC,No,Yes,Yes,No,Yes,No,Standart,454,4,0,633,5/27/2018,No
954,0851-DFJKB,Yes,No,Yes,No,Yes,Standart,No,829,4,2,140,5/24/2018,No
5918,5144-PQCDZ,Yes,No,No,Yes,Yes,Gold,Standart,381,5,1,958,5/22/2018,No
6829,2005-DWQZJ,Yes,No,No,Yes,No ,Gold,Standart,308,5,0,583,5/22/2018,No
3095,1898-JSNDC,Yes,No,No,Yes,No,Platinum,Premium,509,4,2,119,5/21/2018,No
4047,0440-QEXBZ,Yes,Yes,No,No,No,No,Gold,554,3,1,339,5/21/2018,No
12,7469-LKBCI,Yes,No,No,Yes,No ,Premium,Standart,705,5,3,641,5/20/2018,No
3341,6015-VVHHE,Yes,Yes,No,No,No,Platinum,Premium,487,4,0,414,5/19/2018,Yes
5340,3370-GQEAL,Yes,Yes,No,No,No,Standart,No,671,3,1,523,5/19/2018,No
6064,0613-WUXUM,Yes,No,No,Yes,Yes,Gold,Standart,797,5,3,980,5/18/2018,No
1484,0743-HNPFG,Yes,No,Yes,Yes,No,Platinum,Premium,789,5,2,537,5/17/2018,No
5651,6047-SUHPR,Yes,No,Yes,Yes,Yes,Standart,Premium,540,6,3,609,5/17/2018,No
2722,8225-BTJAU,Yes,No,No,No,No,Standart,Platinum,681,3,0,498,5/16/2018,Yes
3374,2516-VQRRV,Yes,Yes,No,No,No,No,Standart,516,3,0,630,5/15/2018,Yes
4329,1101-SSWAG,Yes,Yes,No,No,No,Standart,No,603,3,2,898,5/13/2018,No
2349,2683-JXWQQ,No,Yes,Yes,No,Yes,Premium,No,593,4,1,330,5/11/2018,No
2951,3345-JHUEO,Yes,No,No,Yes,Yes,Standart,Standart,782,5,0,999,5/10/2018,No
5177,0128-MKWSG,No,Yes,Yes,No,No,Gold,No,561,3,1,306,5/10/2018,No
3573,1730-ZMAME,Yes,No,No,No,No,Standart,Gold,627,3,2,660,5/8/2018,No
6812,8992-JQYUN,No,Yes,No,No,Yes,Standart,Standart,829,4,2,325,5/8/2018,Yes
2840,5465-BUBFA,Yes,No,No,Yes,No ,Premium,Standart,449,5,0,897,5/6/2018,No
5684,5057-LCOUI,No,Yes,No,No,Yes,Standart,Gold,729,4,1,464,5/6/2018,Yes
2128,8035-BUYVG,No,Yes,Yes,Yes,Yes,Standart,Premium,334,6,0,720,5/4/2018,Yes
6855,9700-ZCLOT,Yes,No,No,Yes,No ,Gold,No,587,4,2,980,5/3/2018,No
855,7695-PKLCZ,Yes,No,No,Yes,No ,Premium,Standart,811,5,2,262,5/2/2018,No
5779,3090-QFUVD,Yes,No,No,Yes,No ,Premium,No,645,4,0,971,5/2/2018,No
4999,8920-NAVAY,Yes,Yes,No,Yes,Yes,Premium,Premium,533,6,2,854,4/30/2018,No
6218,1599-MMYRQ,Yes,No,Yes,Yes,No,Platinum,Premium,695,5,0,981,4/30/2018,No
6850,5060-TQUQN,Yes,Yes,No,Yes,No,Premium,Gold,605,5,1,918,4/29/2018,No
2016,5155-AZQPB,Yes,Yes,No,No,No,Gold,No,664,3,2,271,4/28/2018,No
3821,9481-IEBZY,Yes,Yes,Yes,Yes,Yes,Platinum,Gold,731,7,3,528,4/28/2018,No
5055,6094-ZIVKX,Yes,No,Yes,No,Yes,Platinum,Premium,609,5,0,336,4/26/2018,No
6021,0020-JDNXP,No,Yes,Yes,No,Yes,No,Premium,332,4,0,857,4/26/2018,No
903,2719-BDAQO,Yes,No,Yes,No,No,Standart,No,676,3,0,240,4/25/2018,Yes
3718,0655-YDGFJ,Yes,No,No,No,Yes,Premium,No,637,3,2,217,4/25/2018,No
4173,1905-OEILC,Yes,No,No,Yes,No ,Gold,No,675,4,0,916,4/23/2018,No
3353,9124-LHCJQ,Yes,Yes,No,No,No,No,Standart,483,3,1,808,4/22/2018,Yes
3299,1336-EZFZY,Yes,No,No,Yes,No ,Gold,No,691,4,1,695,4/21/2018,No
1394,2592-YKDIF,Yes,No,No,Yes,No ,Gold,No,590,4,0,249,4/20/2018,No
4324,3707-LRWZD,Yes,Yes,No,No,No,Standart,Premium,540,4,2,712,4/20/2018,Yes
4674,6402-ZFPPI,Yes,Yes,Yes,Yes,No,No,Gold,580,5,2,467,4/20/2018,Yes
5464,6142-VSJQO,Yes,No,No,No,No,Premium,Standart,772,3,1,476,4/20/2018,Yes
1533,4881-GQJTW,Yes,No,No,Yes,No ,Premium,No,711,4,1,285,4/19/2018,No
656,5183-SNMJQ,Yes,No,No,No,No,Platinum,Platinum,704,3,1,276,4/17/2018,No
1175,6994-ORCWG,Yes,Yes,No,Yes,No,No,Premium,745,4,3,989,4/17/2018,No
1222,3055-MJDSB,No,Yes,No,No,No,Gold,Standart,724,3,1,284,4/17/2018,No
2075,6179-GJPSO,Yes,No,Yes,Yes,No,Platinum,Gold,770,5,1,276,4/17/2018,Yes
1566,6968-GMKPR,Yes,No,No,Yes,Yes,Standart,Gold,673,5,3,205,4/16/2018,No
5437,7246-ZGQDF,Yes,No,Yes,No,No,Standart,No,667,3,2,825,4/14/2018,No
5804,4143-OOBWZ,Yes,Yes,No,Yes,No,Standart,Premium,670,5,1,685,4/13/2018,Yes
6440,9137-UIYPG,Yes,No,Yes,No,Yes,Standart,Gold,642,5,3,954,4/12/2018,No
6076,5081-NWSUP,Yes,No,No,Yes,No,No,Premium,756,3,2,551,4/11/2018,No
4652,3540-RZJYU,Yes,No,Yes,No,No,Standart,No,614,3,1,690,4/10/2018,Yes
545,2817-NTQDO,No,Yes,Yes,No,No,Premium,No,819,3,1,229,4/9/2018,Yes
3439,5955-ERIHD,Yes,Yes,No,No,No,Standart,Platinum,576,4,0,565,4/9/2018,Yes
4093,0670-KDOMA,Yes,No,No,Yes,Yes,Gold,Standart,571,5,1,646,4/7/2018,No
6126,0871-URUWO,Yes,Yes,No,No,Yes,Platinum,Platinum,792,5,0,952,4/7/2018,Yes
6943,3454-JFUBC,Yes,No,No,Yes,Yes,Premium,Standart,729,5,2,650,4/6/2018,No
2008,8086-OVPWV,Yes,No,No,No,No,Standart,Standart,584,3,0,248,4/4/2018,Yes
6457,9174-IHETN,Yes,No,No,No,No,Platinum,Standart,740,3,2,842,4/4/2018,No
211,7841-TZDMQ,Yes,No,No,No,No,Premium,Standart,731,3,1,231,4/3/2018,Yes
1370,5478-JJVZK,Yes,Yes,Yes,Yes,No,No,Gold,613,5,3,229,4/3/2018,No
3842,4039-HEUNW,Yes,Yes,No,Yes,No,Standart,Gold,688,5,0,537,4/3/2018,Yes
4955,9725-SCPZG,Yes,No,No,No,No,Standart,Standart,831,3,0,122,4/3/2018,Yes
1401,7521-YXVZY,Yes,No,No,Yes,No ,Gold,No,649,4,1,278,4/2/2018,No
2292,7488-MXJIV,Yes,Yes,No,No,No,Standart,Premium,686,4,1,588,4/1/2018,Yes
